rowNumber,stationId,Location,Address
1,1101010,Point(141.3532777 43.06225480000001),札幌市中央区北１西２
2,1101020,Point(141.3252375 43.0396273),札幌市中央区南２３西１３
3,1101520,Point(141.3532777 43.06225480000001),札幌市中央区北１西２
4,1101540,Point(141.3445286 43.0409769),札幌市中央区南１４条西１０丁目
5,1102010,Point(141.3711567 43.1453261),札幌市北区篠路４－９
6,1102020,Point(141.3331053 43.0820313),札幌市北区北19条西12丁目
7,1102510,Point(141.3483898 43.0843826),札幌市北区北１９西２
8,1103010,Point(141.3587536 43.0839536),札幌市東区北１８東５
9,1103520,Point(141.3741522 43.1037853),札幌市東区北３３東１８
10,1104030,Point(141.4156654 43.0691627),札幌市白石区菊水元町８－３
11,1105010,Point(141.4269315 43.0228762),札幌市豊平区月寒東４－１８
12,1105520,Point(141.396111 43.03045300000001),札幌市豊平区月寒中央通７丁目
13,1106050,Point(141.3548381 42.9626928),札幌市南区真駒内602
14,1107020,Point(141.2890968 43.0877638),札幌市西区発寒５－７
15,1107030,Point(141.2459108 43.124975),札幌市手稲区前田２－１２
16,1108010,Point(141.4630875 43.04212950000001),札幌市厚別区厚別中央４－３
17,1110010,Point(141.4435827 42.99926180000001),札幌市清田区平岡1条1丁目2
18,1202080,Point(140.7468006 41.8188869),函館市美原3-30-3
19,1202100,Point(140.7365488 41.77803979999999),函館市新川町30-26
20,1202110,Point(140.7302196 41.7958914),函館市吉川町6-22
21,1202560,Point(140.7468006 41.8188869),函館市美原３－３０－３
22,1202570,Point(140.76832 41.7830756),函館市駒場町1-6
23,1203090,Point(141.1564479 43.139733),小樽市見晴町3-26
24,1203100,Point(141.0219079 43.1816823),小樽市勝納町10-1
25,1203110,Point(140.9369767 43.2105522),小樽市塩谷2-10-5
26,1203520,Point(140.9946841 43.1969095),小樽市稲穂2-22-8
27,1204010,Point(142.3645743 43.7702998),旭川市６条通９丁目
28,1204011,Point(142.3645743 43.7702998),旭川市６条通９丁目
29,1204050,Point(142.3294024 43.7940457),旭川市錦町２１丁目
30,1204150,Point(142.3964685 43.7482619),旭川市東光８条３丁目
31,1204160,Point(142.4360185 43.8107633),旭川市永山３条１９丁目
32,1205020,Point(140.9984815 42.3223606),室蘭市御前水町2－2
33,1205060,Point(140.9418307 42.3783205),室蘭市白鳥台5－35
34,1205310,Point(141.0170784 42.33715369999999),室蘭市輪西町3－2－33
35,1205320,Point(141.0334107 42.347823),室蘭市寿町1－9
36,1205540,Point(141.0241673 42.34025),室蘭市東町4－29
37,1205550,Point(140.951444 42.36597709999999),室蘭市陣屋町3－4
38,1206280,Point(144.2606979 43.0173372),釧路市大楽毛西2-32
39,1206290,Point(144.3636328 43.0214076),釧路市昭和中央3丁目12番2号
40,1207090,Point(143.1960911 42.9239722),帯広市西５条南７丁目１番地
41,1208510,Point(143.8907183 43.7987008),北見市常磐町2-1-8
42,1213020,Point(141.6071581 42.6503481),苫小牧市双葉町３－２３
43,1213050,Point(141.6309688 42.6576551),苫小牧市明野新町３－２
44,1213070,Point(141.7239436 42.628815),苫小牧市字勇払２７－２３
45,1213220,Point(141.6892571 42.6698527),苫小牧市沼ノ端中央５－４
46,1213510,Point(141.5414423 42.627265),苫小牧市しらかば町5丁目21番地
47,1213610,Point(141.6055597 42.6340373),苫小牧市旭町4-5-6
48,1224010,Point(141.6722923 42.8299585),千歳市日の出２－２０５５－１
49,1224020,Point(141.6430061 42.8395695),千歳市富丘４－１３
50,1224050,Point(141.7340661 42.7975721),千歳市駒里２２３１－２
51,1224060,Point(141.5998683 42.7896547),千歳市若草４－１３
52,1224510,Point(141.6559533 42.8240893),千歳市東雲町５－１３
53,1226010,Point(141.9187227 43.50902929999999),砂川市焼山60-2
54,1302010,Point(141.2835762 43.1581633),石狩市樽川500-33
55,1335030,Point(140.6956611 41.83442470000001),北斗市追分1-36-16
56,1424010,Point(141.8791082 43.4252332),空知郡奈井江町字奈井江147
57,1518950,Point(141.2269035 45.1530013),利尻郡利尻町仙法志神磯193
58,1578010,Point(141.3559622 42.5505664),白老郡白老町大町１－６
59,1578030,Point(141.2906905 42.5096181),白老郡白老町字北吉原８６
60,1579020,Point(141.7733971 42.73334),勇払郡安平町遠浅７５１－１
61,1579030,Point(141.8055239 42.76268890000001),勇払郡安平町早来北町１２－２
62,1581010,Point(141.8850671 42.7212216),勇払郡厚真町新町１２７－１０
63,1581020,Point(141.8491359 42.6461029),勇払郡厚真町字上厚真１８－１
64,1582020,Point(141.8976741 42.6011207),勇払郡むかわ町田浦２０９－１
65,1582030,Point(141.925667 42.5790773),勇払郡むかわ町福住２丁目１８０番地
66,2201070,Point(140.761095 40.8192369),青森市松原２－４－４
67,2201080,Point(140.7341438 40.8140302),青森市金沢１－６－１
68,2201090,Point(140.6748354 40.8258545),青森市新城平岡１４１－１
69,2201520,Point(140.7528079 40.8243069),青森市橋本１丁目９－１７
70,2202060,Point(140.4771848 40.6085258),弘前市和徳町３６３－１３
71,2202510,Point(140.4396435 40.5942053),弘前市中野１－１－１
72,2203050,Point(141.4711699 40.5322634),八戸市河原木根岸１－２
73,2203220,Point(141.4471351 40.56001),八戸市市川町尻引前山３１－２
74,2203240,Point(141.4806243 40.5163489),八戸市売市小待１５０
75,2203260,Point(141.5221467 40.5275241),八戸市大字湊町字舘鼻６７
76,2203510,Point(141.4901961 40.5079413),八戸市六日町１０
77,2204010,Point(140.5941222 40.6505456),黒石市ぐみの木３－６５
78,2205010,Point(140.4634634 40.7818583),五所川原市広田藤浦１０５－１
79,2206030,Point(141.2031855 40.6089347),十和田市西十三番町５－２４
80,2207020,Point(141.3763288 40.6940313),三沢市岡三沢七丁目１６－１
81,2208030,Point(141.2092613 41.28404949999999),むつ市金曲一丁目５－１０
82,2307950,Point(140.368568 41.2412816),東津軽郡外ヶ浜町三厩宇鉄山国有林84林班り2小班
83,2321010,Point(140.2381031 40.78269179999999),西津軽郡鰺ヶ沢町大字舞戸町字鳴戸３８４－３７
84,2364510,Point(140.5898472 40.7570732),青森市浪岡大字大釈迦前田５－２
85,2411010,Point(141.3593692 40.97637659999999),上北郡六ヶ所村大字尾駮字野附４８３
86,3201070,Point(141.1453408 39.6637187),盛岡市津志田１４－３７－２
87,3201550,Point(141.13815 39.7203557),盛岡市上田４－１－１
88,3202050,Point(141.9498839 39.6442869),宮古市横町 ５－１
89,3203090,Point(141.7045921 39.0952669),大船渡市猪川町字前田 ６－１
90,3204010,Point(141.1401285 39.1440371),奥州市水沢区大手町５－５
91,3205010,Point(141.1158996 39.3900124),花巻市花城町１－４１
92,3206010,Point(141.1108537 39.2872222),北上市芳町２－８
93,3207010,Point(141.7627117 40.1916885),久慈市八日町１－１
94,3209010,Point(141.1272191 38.9358415),一関市竹山町７－５
95,3209510,Point(141.1186394 38.9324055),一関市山目字三反田１５２－１
96,3211070,Point(141.8454254 39.2658381),釜石市釜石市新町６－５０
97,3213020,Point(141.2958978 40.2688046),二戸市石切所字荷渡６－３
98,3215010,Point(141.1752501 39.1928193),奥州市江刺区大通り ７－１３
99,3305010,Point(141.1405021 39.7817034),岩手郡滝沢村滝沢字巣子７３３－４
100,3321010,Point(141.1722039 39.5552792),紫波郡紫波町日詰字東裏 ８５－１
101,4101010,Point(140.7767039 38.2718954),仙台市青葉区下愛子字二本松４０
102,4101020,Point(140.7641372 38.2686728),仙台市青葉区下愛子字観音堂5
103,4101510,Point(140.8733429 38.2932172),仙台市青葉区北根一丁目１１
104,4104010,Point(140.6712978 38.2585519),仙台市太白区秋保町長袋大原４５?１
105,4105520,Point(140.8457951 38.3107165),仙台市泉区長命ケ丘２－２２
106,4105530,Point(140.8860157 38.3365894),仙台市泉区将監４－４
107,4201020,Point(140.946114 38.3012838),仙台市宮城野区岩切字三所南８８－１
108,4201030,Point(140.9105083 38.2908644),仙台市宮城野区鶴ヶ谷３－１７－１
109,4201050,Point(140.8892424 38.2189391),仙台市太白区郡山６－５－１
110,4201060,Point(140.8389242 38.2964508),仙台市青葉区中山６－１６－１
111,4201070,Point(140.9765374 38.2648566),仙台市宮城野区白鳥1-32-1
112,4201080,Point(140.9420495 38.241072),仙台市若林区荒井字堀添５３－２
113,4201210,Point(140.9718261 38.2803781),仙台市宮城野区福室５－１６－１
114,4201220,Point(140.8278262 38.2211062),仙台市太白区山田北前町３６－１
115,4201230,Point(140.8963204 38.26004229999999),仙台市宮城野区五輪１－２－３
116,4201540,Point(140.9109735 38.2672734),仙台市宮城野区原町３ー７
117,4201550,Point(140.8640566 38.2727087),仙台市青葉区木町通１－７－３６
118,4201560,Point(140.8818405 38.2508938),仙台市若林区清水小路３－１
119,4202060,Point(141.2620458 38.4330154),石巻市石巻市門脇一番谷地51-10
120,4203010,Point(141.0220539 38.3143308),塩竃市旭町1-1
121,4203510,Point(141.0298497 38.3143557),塩竃市中の島１－９
122,4204020,Point(140.9745424 38.5665918),大崎市古川旭４－１－１
123,4204510,Point(140.9790227 38.5711324),大崎市李埣３－１－３
124,4205020,Point(141.5709194 38.902746),気仙沼市笹ヶ陣３－１
125,4206010,Point(140.6193414 37.9973807),白石市南町１－２－７９
126,4207510,Point(140.8914668 38.1708702),名取市増田５－１８－３２
127,4210010,Point(140.8931671 38.3229584),仙台市泉区七北田字東裏９０
128,4211010,Point(140.8680692 38.1114753),岩沼市中央３丁目１－１３
129,4323010,Point(140.7658698 38.0565554),柴田郡柴田町船岡中央２－３－４５
130,4341010,Point(140.817232 37.8562241),伊具郡丸森町大内字南平１９３－６
131,4362010,Point(140.8928995 37.9406596),亘理郡山元町高瀬字合戦原１００－１
132,4401010,Point(141.0715152 38.3895246),宮城郡松島町高城字迎山３－５
133,4406010,Point(140.9811807 38.330037),宮城郡利府町中央２－１１－１
134,4421010,Point(140.8869295 38.4471773),黒川郡大和町吉岡字町裏３２
135,4501010,Point(141.170805 38.5504263),遠田郡涌谷町遠田郡涌谷町小塚字桜清水二1-5
136,4521010,Point(141.0187123 38.7385708),栗原市築館藤木５－１
137,4541010,Point(141.2081563 38.691779),登米市迫町佐沼字北散田１４７
138,4562020,Point(141.2088986 38.412416),東松島市矢本字町裏１５４
139,5201010,Point(140.0822435 39.7615051),秋田市土崎港北２－１７
140,5201030,Point(140.1026808 39.703907),秋田市茨島１－４－７１
141,5201040,Point(140.1304672 39.6795727),秋田市仁井田本町４－５－２０
142,5201060,Point(140.1234359 39.7955231),秋田市上新城五十丁字大村屋敷２２
143,5201080,Point(140.0667965 39.75626279999999),秋田市土崎港西３－１０－２５
144,5201120,Point(140.1017801 39.7201283),秋田市山王１－１－１
145,5201130,Point(140.0839452 39.6770693),秋田市新屋扇町１２－３５
146,5201340,Point(140.0616933 39.7899111),秋田市飯島字堀川８４－１３０
147,5201370,Point(140.1466801 39.7143034),秋田市広面字樋ノ上２８３
148,5201530,Point(140.1026808 39.703907),秋田市茨島１－４－７１
149,5202020,Point(140.0196592 40.2107604),能代市盤若町３－１
150,5202040,Point(140.1195362 40.1695274),能代市檜山字赤館４２－１
151,5203020,Point(140.5781487 39.3100292),横手市旭川１－３－４６
152,5204020,Point(140.5728139 40.2737896),大館市金坂後６
153,5205010,Point(140.0499266 39.3839601),由利本荘市桜小路１
154,5206060,Point(139.8502469 39.8900409),男鹿市船川港船川字泉台３－２
155,5208010,Point(140.4786818 39.4508865),大仙市大曲上栄町１３－６２
156,6201090,Point(140.3406186 38.2702593),山形市銅町２－１０－８
157,6201110,Point(140.3160787 38.2119309),山形市成沢西一丁目３－３
158,6201510,Point(140.3622751 38.2693603),山形市下山家８１－５
159,6202010,Point(140.1138229 37.919914),米沢市金池２－９
160,6203010,Point(139.8270664 38.7393017),鶴岡市錦町6-60
161,6204020,Point(139.834362 38.9314068),酒田市住吉町９－３６
162,6204040,Point(139.8918104 38.9476532),酒田市大字安田字背煩堰７０
163,6204050,Point(139.8490822 38.9133111),酒田市若浜町１－４０
164,6205010,Point(140.298662 38.7574861),新庄市下田町８－１
165,6206010,Point(140.2773842 38.3907689),寒河江市西根字石川西３５５
166,6208010,Point(140.3988015 38.4736),村山市楯岡笛田3-2-1
167,6209010,Point(140.0345225 38.1106376),長井市高野町２丁目３－１
168,6422010,Point(139.9036941 38.8458511),東田川郡庄内町大字余目字猿田８７
169,6461010,Point(139.9181269 39.0131088),飽海郡遊佐町大字遊佐町字川端７
170,7201180,Point(140.4906747 37.7764493),福島市古川44-2
171,7201190,Point(140.4632759 37.7404417),福島市郷野目字向町17-2
172,7201200,Point(140.4494813 37.7669513),福島市森合字中谷地4-4
173,7201510,Point(140.4781183 37.7670049),福島市松浪町3-46
174,7202070,Point(139.926216 37.493881),会津若松市西栄町４－６１
175,7203130,Point(140.3965261 37.3908901),郡山市芳賀２丁目６番１号
176,7203140,Point(140.3790658 37.392156),郡山市堤下町４ノ４
177,7203150,Point(140.3930366 37.4480471),郡山市日和田町日向６０
178,7203170,Point(140.3900977 37.4177316),郡山市富久山町字空谷地２３
179,7203180,Point(140.3646879 37.35591489999999),郡山市安積３－３７
180,7203520,Point(140.3423574 37.393563),郡山市台新１－８０４
181,7204020,Point(140.781943 36.8949834),いわき市錦町重殿１５
182,7204030,Point(140.7721917 36.9131278),いわき市錦町鬼越下６４
183,7204070,Point(140.8638763 36.9398958),いわき市泉町下川字宿ノ川１９
184,7204090,Point(140.8698807 36.953204),いわき市泉町滝尻字高見坪１
185,7204110,Point(140.8931114 36.9633773),いわき市小名浜大原字六反田２２
186,7204160,Point(140.8783192 36.9465216),いわき市小名浜字中原５－１
187,7204170,Point(140.8201018 36.92895439999999),いわき市金山町朝日台１
188,7204210,Point(140.8857179 37.0584359),いわき市平字揚土５
189,7204510,Point(140.9000993 37.0543046),いわき市平字正内町２２
190,7204720,Point(140.9173426 37.0031202),いわき市中央台鹿島１丁目55
191,7204730,Point(140.8487518 37.0038675),いわき市常磐湯本町栄田11
192,7204740,Point(140.9654196 37.094391),いわき市四倉町狐塚字松橋20
193,7205050,Point(140.2209421 37.1216944),白河市寺小路28
194,7206050,Point(140.950396 37.639986),南相馬市仲町２丁目１６５
195,7207010,Point(140.3715715 37.2859625),須賀川市大町１０８－１
196,7208090,Point(139.8742433 37.6584116),喜多方市字桜が丘１－１２９－１
197,7209080,Point(140.919307 37.80443),相馬市中村字高池前４３
198,7210010,Point(140.4300891 37.5848237),二本松市金色424-1
199,7368010,Point(139.7813093 37.20122480000001),南会津郡南会津町田島字天道沢甲２５４２－７
200,7466010,Point(140.338608 37.2012581),西白河郡矢吹町一本木101
201,7481010,Point(140.3766162 37.0232356),東白川郡棚倉町大字棚倉字舘ヶ丘７３－４
202,7541010,Point(140.9901618 37.2190082),双葉郡広野町大字下北迫字岩作６７－１
203,7542010,Point(140.9975558 37.26553970000001),双葉郡楢葉町大字下小塙字麦入３１
204,7543010,Point(140.9946837 37.3593652),双葉郡富岡町字夜の森南４丁目４２
205,7546010,Point(141.0054318 37.4412907),双葉郡双葉町大字新山字清戸迫１
206,7561020,Point(140.9132984 37.8731716),相馬郡新地町谷地小屋字愛宕３７－２
207,7563010,Point(140.957261 37.6422006),南相馬市東町２丁目７８
208,8201030,Point(140.4262903 36.3927472),水戸市石川一丁目４０４３－８
209,8201040,Point(140.4980362 36.3300825),水戸市元石川町２２９７－１
210,8201510,Point(140.4584385 36.3811109),水戸市大工町１－６
211,8202020,Point(140.6501965 36.6012537),日立市宮田町１－４４－１
212,8202050,Point(140.6258907 36.5576566),日立市末広町１－２
213,8202200,Point(140.5822382 36.4952752),日立市下土木内町６１７
214,8203010,Point(140.1909326 36.0707298),土浦市下高津２－７－４６
215,8203520,Point(140.1671688 36.0427672),土浦市中村南１丁目１４１３番地－１
216,8204010,Point(139.7155912 36.2040503),古河市北町６－２２
217,8205020,Point(140.284938 36.2034416),石岡市杉並２－１－２
218,8206010,Point(139.9765615 36.3096848),筑西市甲１１４
219,8208010,Point(140.1930039 35.9072244),龍ケ崎市光順田２９８３－１
220,8210010,Point(139.9602831 36.1842223),下妻市下妻乙２０９
221,8211010,Point(139.9920425 36.0342626),常総市水海道森下町４４７４
222,8212010,Point(140.5176525 36.5248394),常陸太田市稲木町６６０
223,8213010,Point(140.5346664 36.3965854),ひたちなか市東石川２－１０－１
224,8214010,Point(140.7116968 36.7152097),高萩市本町２－３７
225,8215010,Point(140.7342926 36.7799923),北茨城市中郷町上桜井５３－５
226,8216010,Point(140.2369586 36.3857574),笠間市石井７１７
227,8217010,Point(140.0495324 35.9110671),取手市大字寺田５１３９
228,8220010,Point(140.0375656 36.1041017),つくば市高野１１９７－２０
229,8221010,Point(140.5022803 36.40157),ひたちなか市市毛８２３－１
230,8302010,Point(140.4178973 36.314559),東茨城郡茨城町大戸１７３７
231,8341010,Point(140.6223267 36.4339475),那珂郡東海村照沼１１４５
232,8342010,Point(140.5077779 36.4473368),那珂市菅谷８９１－２
233,8344010,Point(140.4021967 36.555081),常陸大宮市野中町３０８３
234,8402010,Point(140.5167529 36.1595964),鉾田市大字鉾田１３６７－３
235,8405010,Point(140.6229747 35.9644771),鹿嶋市城山２－２－１９
236,8405020,Point(140.6599215 35.971386),鹿嶋市大字港ヶ丘２丁目１１５０－４１
237,8406010,Point(140.62583 35.9160826),神栖市大字下幡木４１３０
238,8406030,Point(140.6382045 35.8991784),神栖市大野原４－７
239,8406050,Point(140.6644489 35.8899991),神栖市大字溝口字甲の池４９９１－５
240,8406060,Point(140.6713908 35.87114990000001),神栖市大字知手１００－３
241,8406080,Point(140.7027292 35.8506637),神栖市大字横瀬８６６－１
242,8407010,Point(140.7415295 35.8382409),神栖市大字須田２３４０－１
243,8423040,Point(140.567393 35.9395682),潮来市大字大洲１４４６－１
244,8441010,Point(140.31192 35.962133),稲敷市江戸崎字大宿甲３２１３
245,8541010,Point(139.7677638 36.1765147),古河市下大野谷地川２４５６
246,8561510,Point(139.9744275 35.9510748),守谷市大柏９３７－２
247,9201060,Point(139.863122 36.48792),宇都宮市雀宮７丁目２８番１６号
248,9201070,Point(139.9426482 36.5081783),宇都宮市下桑島町４６５
249,9201080,Point(139.8559684 36.5908349),宇都宮市細谷１丁目４番３８号
250,9201100,Point(139.9201458 36.5674664),宇都宮市泉が丘７－１２－１４
251,9201108,Point(139.9404248 36.6004178),宇都宮市下岡本町２１４５番地１４
252,9201110,Point(139.9803186 36.5318084),宇都宮市上篭谷町１１４５
253,9201120,Point(139.8851296 36.5567672),宇都宮市中央１－１－１３
254,9201570,Point(139.8844175 36.561921),宇都宮市馬場通り１－１－１１
255,9201580,Point(139.9409774 36.5674799),宇都宮市平出町１２６０
256,9202010,Point(139.4542268 36.3521022),足利市本城３－２１４５
257,9202520,Point(139.4949175 36.2914457),足利市久保田町923
258,9203010,Point(139.7303562 36.3813923),栃木市入舟町７－２６
259,9203030,Point(139.6847564 36.2832121),栃木市藤岡８１２
260,9203520,Point(139.7460429 36.3922535),栃木市平柳町２丁目
261,9204020,Point(139.5820566 36.330908),佐野市堀米町607
262,9204530,Point(139.5611003 36.2910951),佐野市田島町１２７－３
263,9205010,Point(139.745005 36.5669749),鹿沼市今宮町１６８８－１
264,9205510,Point(139.7565829 36.5701742),鹿沼市府所本町２丁目
265,9206010,Point(139.6153356 36.7489614),日光市石屋町408-1
266,9207010,Point(139.6800109 36.7257039),日光市今市５３１
267,9207510,Point(139.6825604 36.7260667),日光市今市５１１
268,9208010,Point(139.8002801 36.313294),小山市中央町１－１－１
269,9208510,Point(139.8018195 36.3152868),小山市城山町２丁目１－２６
270,9209010,Point(140.0136724 36.4403673),真岡市荒町５１９１
271,9209510,Point(139.9942873 36.4435153),真岡市熊倉町２－５－１
272,9210010,Point(140.0155171 36.8708174),大田原市本町１－４ー１
273,9211010,Point(139.9239959 36.8062129),矢板市本町５－４
274,9211510,Point(139.9418164 36.7656467),矢板市片岡字沢橋２１６６－３９
275,9212010,Point(140.0549894 36.9688923),那須塩原市黒磯幸町８－１０
276,9216010,Point(139.8775674 36.3847082),下野市田中６８１－１
277,9301010,Point(139.9101767 36.4393022),河内郡上三川町しらさぎ１－１
278,9301510,Point(139.9074816 36.4445767),河内郡上三川町しらさぎ２－１－１１
279,9342010,Point(140.0934838 36.4673588),芳賀郡益子町益子２０３０
280,9364010,Point(139.7422865 36.2305774),下都賀郡野木町丸林６２９
281,9383010,Point(139.7151723 36.822353),日光市鬼怒川温泉大原1406-1
282,9402010,Point(140.1510903 36.6598314),那須烏山市中央１－６－９２
283,10201090,Point(139.0960211 36.4047323),前橋市上沖町３７８
284,10201510,Point(139.0428727 36.3816035),前橋市元総社町３３５元総社第二団地先国道１７号
285,10202010,Point(138.9955116 36.33801589999999),高崎市並榎町１１７－２０
286,10203010,Point(139.342672 36.4105658),桐生市仲町２－４－２１
287,10203510,Point(139.3526243 36.3695416),桐生市広沢町６－４１１－２
288,10204030,Point(139.1945766 36.31351160000001),伊勢崎市上泉町３１０
289,10204510,Point(139.2076974 36.3034767),伊勢崎市茂呂町２－２１６９－１
290,10205010,Point(139.3817322 36.2909131),太田市飯田町１１６６
291,10205510,Point(139.3868953 36.2780216),太田市飯塚町１６８４
292,10206010,Point(139.0432674 36.64710669999999),沼田市西倉内町７４６
293,10207010,Point(139.5317782 36.2499123),館林市仲町１４－１
294,10207510,Point(139.5202506 36.2351772),館林市小桑原町９４９（地上）
295,10208010,Point(138.9940146 36.4990885),渋川市渋川４２６－１
296,10208510,Point(139.0120412 36.4921403),渋川市渋川１４１３－６
297,10210010,Point(138.8939601 36.25898610000001),富岡市富岡１３５９
298,10211010,Point(138.9138437 36.323256),安中市野殿１０２６－４
299,10211040,Point(138.9277215 36.3299788),安中市岩井６１７－１
300,10211060,Point(138.8951009 36.3276673),安中市安中３－１０－４３
301,10211510,Point(138.9177641 36.3303214),安中市中宿７８３－１
302,10423010,Point(138.8275195 36.5786787),吾妻郡東吾妻町原町５２３０
303,10425010,Point(138.4937213 36.4836568),吾妻郡嬬恋村大笹１
304,10449010,Point(138.9827919 36.7304635),利根郡みなかみ町上牧１７３５
305,10464010,Point(139.1103334 36.2974922),佐波郡玉村町上之手１８４６－１
306,11110010,Point(139.7266446 35.9148962),さいたま市岩槻区大字笹久保577
307,11110510,Point(139.6815107 35.95519609999999),さいたま市岩槻区大字岩槻３７５０
308,11201030,Point(139.4866332 35.8906262),川越市砂新田１－１５
309,11201040,Point(139.4869977 35.9278059),川越市宮下町２－７－４
310,11201050,Point(139.426854 35.91932389999999),川越市伊勢原町５－４－５
311,11201510,Point(139.4926183 35.9065533),川越市仙波町４－１８－１５
312,11202040,Point(139.3886361 36.1473726),熊谷市宮町２－４７－１
313,11202510,Point(139.395017 36.163357),熊谷市肥塚５９６－１
314,11203030,Point(139.7027383 35.8008764),川口市宮町１６－１
315,11203040,Point(139.750635 35.7977241),川口市川口市東領家2-27-1
316,11203050,Point(139.7636506 35.8292566),川口市東本郷１３０１－１
317,11203060,Point(139.6861921 35.8331499),川口市芝樋ノ爪２－９
318,11203510,Point(139.7503743 35.8408796),川口市安行慈林３５６
319,11203530,Point(139.7314741 35.8535759),川口市神戸４６１
320,11204010,Point(139.6459029 35.8616328),さいたま市浦和区常盤６－４－４
321,11204040,Point(139.6654039 35.8395616),さいたま市南区根岸2-20-13
322,11204520,Point(139.6307046 35.8368235),さいたま市南区曲本1-21-1
323,11204530,Point(139.6585497 35.8309526),さいたま市南区辻8-27-25
324,11205020,Point(139.6056592 35.9519803),さいたま市北区宮原町4-129
325,11205030,Point(139.664106 35.9409328),さいたま市見沼区小深作268-19
326,11205040,Point(139.5731918 35.9228477),さいたま市西区指扇4226
327,11205050,Point(139.6738304 35.9070624),さいたま市見沼区御蔵551
328,11205120,Point(139.6290312 35.9067102),さいたま市大宮区大門町３－３
329,11205530,Point(139.5958234 35.9131412),さいたま市西区三橋5-190
330,11205540,Point(139.6445189 35.9372992),さいたま市見沼区東大宮1-100-1
331,11206020,Point(139.4758402 36.1391874),行田市長野２－３－１７
332,11207010,Point(139.0800942 35.9879187),秩父市日野田町１－１－４４
333,11208060,Point(139.5197372 35.8033447),所沢市東所沢３－２２－８
334,11208070,Point(139.4401367 35.7854852),所沢市小手指南1-25-15
335,11208090,Point(139.4835861 35.8143889),所沢市中富１６１４－２
336,11208520,Point(139.4728997 35.79936070000001),所沢市並木1-13
337,11208530,Point(139.4097976 35.8056126),所沢市和ヶ原1-175-7
338,11209010,Point(139.3269334 35.8545114),飯能市双柳75
339,11210010,Point(139.6097908 36.132313),加須市北小浜１０６０－１
340,11211010,Point(139.2010568 36.2389843),本庄市日の出4-2-45
341,11212020,Point(139.4158599 36.0311435),東松山市五領町８番地
342,11212520,Point(139.4106122 36.0530326),東松山市松山１７２１－１
343,11213010,Point(139.7019868 35.9506516),さいたま市岩槻区本町６－１８９－２
344,11214030,Point(139.7456856 35.9723261),春日部市谷原１－３
345,11214510,Point(139.7276703 35.9545853),春日部市増戸７２３－１
346,11215010,Point(139.4493025 35.859352),狭山市堀兼３６１
347,11216010,Point(139.5569825 36.1754206),羽生市藤井下組１１４
348,11217010,Point(139.5221929 36.06596),鴻巣市中央１－１
349,11217510,Point(139.5216362 36.05981939999999),鴻巣市天神１－１－２８
350,11218010,Point(139.2787963 36.1859318),深谷市上野台５０８
351,11218510,Point(139.2915319 36.1976558),深谷市原郷８０
352,11219020,Point(139.5703631 35.9769418),上尾市浅間台３－３５
353,11221050,Point(139.7956882 35.8293325),草加市西町４２５－２
354,11221510,Point(139.7905143 35.839652),草加市花栗4-15-12
355,11221520,Point(139.77671 35.847355),草加市原町２－７－１
356,11222020,Point(139.7962265 35.8959041),越谷市東越谷３－１４
